Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,Global,221648869,2843.642585596111,4026474,51.657619494532675,482116,4582338,58.78907272202373,64076,0.8220625854610449,6932
United States of America,Americas,39893580,12052.34,956426,288.95,98379,644318,194.66,9903,2.99,561
India,South-East Asia,33096718,2398.31,285873,20.72,37875,441411,31.99,2391,0.17,369
Brazil,Americas,20899933,9832.51,147652,69.46,9154,583810,274.66,4236,1.99,182
Russian Federation,Europe,7065904,4841.83,128571,88.1,18024,189582,129.91,5568,3.82,797
The United Kingdom,Europe,7056110,10394.06,266525,392.61,37179,133483,196.63,948,1.4,209
France,Europe,6652726,10228.77,79827,122.74,12851,113240,174.11,468,0.72,111
Turkey,Europe,6542654,7757.56,154323,182.98,23638,58651,69.54,1941,2.3,274
Argentina,Americas,5207695,11522.53,28806,63.74,3893,112673,249.3,1066,2.36,162
Iran (Islamic Republic of),Eastern Mediterranean,5184124,6172.09,192061,228.66,27138,111892,133.22,4098,4.88,635
Colombia,Americas,4919773,9668.82,12509,24.58,1124,125331,246.31,448,0.88,53
Spain,Europe,4892640,10336.72,29153,61.59,2311,85066,179.72,301,0.64,8
Italy,Europe,4579502,7678.38,39511,66.25,4715,129638,217.36,417,0.7,71
Indonesia,South-East Asia,4147365,1516.27,47227,17.27,6731,137782,50.37,4106,1.5,626
Germany,Europe,4030681,4846.51,74294,89.33,13565,92448,111.16,225,0.27,35
Mexico,Americas,3433511,2663.02,92247,71.55,5127,263470,204.35,4979,3.86,330
Poland,Europe,2891602,7617.87,2566,6.76,531,75403,198.65,45,0.12,11
South Africa,Africa,2824063,4761.63,46404,78.24,0,83617,140.99,1356,2.29,0
Ukraine,Europe,2303276,5266.59,14905,34.08,2772,54114,123.74,281,0.64,60
Peru,Americas,2155508,6537.42,5917,17.95,474,198523,602.1,260,0.79,35
Philippines,Western Pacific,2121308,1935.83,131569,120.07,18012,34498,31.48,1050,0.96,161
Netherlands,Europe,1958804,11252.59,17890,102.77,2501,18048,103.68,38,0.22,8
Iraq,Eastern Mediterranean,1928930,4795.65,40780,101.39,5988,21220,52.76,390,0.97,58
Malaysia,Western Pacific,1880734,5810.83,134480,415.5,18547,18802,58.09,2138,6.61,311
Czechia,Europe,1681681,15725.55,2205,20.62,590,30408,284.35,4,0.04,0
Chile,Americas,1641791,8588.48,3116,16.3,265,37115,194.15,178,0.93,7
Japan,Western Pacific,1590994,1257.94,104841,82.89,10477,16436,13,395,0.31,49
Bangladesh,South-East Asia,1522302,924.35,18622,11.31,2497,26736,16.23,462,0.28,52
Canada,Americas,1511212,4004.04,14956,39.63,0,27006,71.55,88,0.23,0
Thailand,South-East Asia,1322519,1894.73,102988,147.55,14176,13511,19.36,1670,2.39,228
Belgium,Europe,1198503,10401.47,9864,85.61,2,25428,220.68,44,0.38,2
Pakistan,Eastern Mediterranean,1186234,537.02,26115,11.82,3316,26330,11.92,542,0.25,98
Sweden,Europe,1133449,10974.96,6850,66.33,2036,14699,142.33,5,0.05,0
Israel,Europe,1117596,12911.91,41323,477.42,0,7205,83.24,127,1.47,0
Romania,Europe,1111155,5748.69,10947,56.64,2079,34792,180,201,1.04,30
Portugal,Europe,1048941,10187.94,11014,106.97,1231,17816,173.04,73,0.71,6
Kazakhstan,Europe,895764,4770.61,32183,171.4,3981,14423,76.81,691,3.68,0
Morocco,Eastern Mediterranean,889532,2409.97,28584,77.44,3524,13224,35.83,575,1.56,79
Hungary,Europe,814064,8332.69,1533,15.69,246,30077,307.87,18,0.18,3
Jordan,Eastern Mediterranean,803351,7873.57,6225,61.01,1002,10491,102.82,80,0.78,14
Switzerland,Europe,795040,9186.31,14151,163.51,6,10492,121.23,32,0.37,0
Serbia,Europe,788895,11389.18,25962,374.81,5069,7421,107.14,129,1.86,23
Nepal,South-East Asia,773529,2654.82,9234,31.69,1347,10889,37.37,119,0.41,10
United Arab Emirates,Eastern Mediterranean,725192,7332.28,6822,68.98,952,2050,20.73,9,0.09,2
Cuba,Americas,704675,6221.41,51820,457.51,7771,5881,51.92,578,5.1,93
Austria,Europe,695405,7812.61,11616,130.5,1496,10604,119.13,34,0.38,8
Tunisia,Eastern Mediterranean,675771,5717.85,9603,81.25,0,23901,202.23,363,3.07,0
Lebanon,Eastern Mediterranean,609189,8925.26,6923,101.43,1148,8129,119.1,76,1.11,15
Greece,Europe,605158,5645.89,16589,154.77,2807,13971,130.34,273,2.55,38
Georgia,Europe,570493,14301.03,16796,421.04,2571,7977,199.97,495,12.41,60
Viet Nam,Western Pacific,550996,566.06,88904,91.33,14208,13701,14.08,2637,2.71,316
Saudi Arabia,Eastern Mediterranean,545505,1566.92,1056,3.03,138,8591,24.68,46,0.13,6
Ecuador,Americas,503883,2855.99,2682,15.2,51,32353,183.38,109,0.62,1
Belarus,Europe,493818,5225.96,12286,130.02,1419,3859,40.84,79,0.84,12
Bolivia (Plurinational State of),Americas,493115,4224.4,2648,22.68,435,18514,158.61,85,0.73,2
Guatemala,Americas,492570,2749.4,22293,124.43,4032,12388,69.15,462,2.58,73
Costa Rica,Americas,478144,9386.2,16999,333.7,1435,5642,110.76,150,2.94,24
Sri Lanka,South-East Asia,471863,2203.6,27733,129.51,0,10504,49.05,1104,5.16,0
Bulgaria,Europe,464715,6685.12,8973,129.08,2005,19270,277.21,374,5.38,121
Panama,Americas,460073,10662.75,3036,70.36,229,7095,164.44,41,0.95,9
Paraguay,Americas,458922,6434.2,467,6.55,38,16003,224.37,261,3.66,8
Azerbaijan,Europe,447725,4415.79,22834,225.21,2447,5920,58.39,284,2.8,41
Myanmar,South-East Asia,420402,772.66,17762,32.64,0,16082,29.56,592,1.09,0
Kuwait,Eastern Mediterranean,410496,9612.2,636,14.89,83,2426,56.81,7,0.16,1
Slovakia,Europe,396904,7272.14,1782,32.65,417,12553,230,5,0.09,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,388649,7618.46,17067,334.55,2762,4023,78.86,75,1.47,11
Uruguay,Americas,385780,11105.64,1002,28.85,120,6034,173.7,5,0.14,0
Croatia,Europe,379963,9362.93,5160,127.15,1237,8395,206.87,57,1.4,10
Ireland,Europe,359420,7239.89,10348,208.44,1465,5112,102.97,20,0.4,0
Dominican Republic,Americas,352009,3244.95,1836,16.92,115,4013,36.99,5,0.05,1
Denmark,Europe,349891,6009.02,4198,72.1,451,2594,44.55,10,0.17,2
Honduras,Americas,346134,3494.68,7377,74.48,2327,9081,91.68,231,2.33,58
Venezuela (Bolivarian Republic of),Americas,341314,1200.29,6971,24.51,1127,4115,14.47,105,0.37,17
Libya,Eastern Mediterranean,318069,4628.95,9097,132.39,1272,4363,63.5,116,1.69,20
Ethiopia,Africa,316174,275.02,8040,6.99,0,4785,4.16,110,0.1,0
Lithuania,Europe,304600,10901.58,5068,181.38,908,4630,165.71,61,2.18,7
Oman,Eastern Mediterranean,302815,5929.84,515,10.08,67,4081,79.92,17,0.33,3
Egypt,Eastern Mediterranean,290773,284.14,2332,2.28,378,16811,16.43,75,0.07,10
Bahrain,Eastern Mediterranean,273252,16058.77,712,41.84,139,1388,81.57,0,0,0
Slovenia,Europe,272512,13002.39,4541,216.67,1093,4786,228.35,2,0.1,1
Republic of Moldova,Europe,271535,6731.22,4009,99.38,850,6446,159.79,45,1.12,1
Republic of Korea,Western Pacific,265423,517.7,11983,23.37,2050,2334,4.55,42,0.08,4
Armenia,Europe,246410,8315.58,3660,123.51,645,4954,167.18,97,3.27,15
Mongolia,Western Pacific,240938,7349.5,26923,821.25,4163,976,29.77,45,1.37,8
Kenya,Africa,240430,447.13,4567,8.49,0,4795,8.92,69,0.13,0
Qatar,Eastern Mediterranean,233928,8119.53,1184,41.1,172,604,20.96,2,0.07,1
Bosnia and Herzegovina,Europe,218080,6647.13,4227,128.84,718,9919,302.33,116,3.54,13
Zambia,Africa,207167,1126.89,840,4.57,0,3617,19.67,15,0.08,0
Algeria,Africa,198313,452.24,2233,5.09,0,5445,12.42,176,0.4,0
Nigeria,Africa,193644,93.94,1839,0.89,0,2488,1.21,33,0.02,0
North Macedonia,Europe,180919,8683.92,4425,212.4,676,6129,294.19,191,9.17,32
Kyrgyzstan,Europe,176779,2709.59,903,13.84,97,2561,39.25,29,0.44,4
Puerto Rico,Americas,174448,6097.76,3996,139.68,58,2928,102.35,68,2.38,5
Norway,Europe,168464,3138.55,6802,126.72,0,823,15.33,1,0.02,0
Botswana,Africa,162186,6896.76,5259,223.63,0,2309,98.19,48,2.04,0
Uzbekistan,Europe,161768,483.33,4632,13.84,660,1132,3.38,44,0.13,7
Afghanistan,Eastern Mediterranean,153736,394.92,476,1.22,110,7151,18.37,28,0.07,7
Kosovo[1],Europe,153535,8550.31,8531,475.09,920,2675,148.97,181,10.08,28
Albania,Europe,152239,5290.12,5852,203.35,740,2523,87.67,25,0.87,4
Mozambique,Africa,148054,473.69,1738,5.56,0,1881,6.02,17,0.05,0
Latvia,Europe,145402,7621.95,2296,120.36,459,2595,136.03,16,0.84,3
Estonia,Europe,144878,10901.48,2515,189.24,488,1305,98.2,12,0.9,0
Finland,Europe,131686,2383.33,3825,69.23,632,1039,18.8,1,0.02,0
